ubicacion,categoria,texto_actual,texto_propuesto
"js/app.js (L6417)","etiqueta/HTML","✗ No era lo que pedí",""
"js/app.js (L6581)","etiqueta/HTML","Modo profesional …",""
"js/app.js (L6582)","etiqueta/HTML","Las funciones profesionales (editar descripción, pie de página, limitaciones, logo de empresa, motor de análisis y elementos de área) requieren un token autorizado , que se obtiene enviando una solicitud. Garantiza que la herramienta no se use con fines comerciales sin autorización. La versión académica conserva los créditos UACh · Facultad · IOC.",""
"js/app.js (L6584)","etiqueta/HTML","Desactivar modo profesional",""
"js/app.js (L6585)","etiqueta/HTML","Token profesional",""
"js/app.js (L6585)","placeholder","pegue su token",""
"js/app.js (L6589)","etiqueta/HTML","Memoria — encabezado",""
"js/app.js (L6592)","etiqueta/HTML","Subtítulo (kicker)…",""
"js/app.js (L6595)","etiqueta/HTML","Institución…",""
"js/app.js (L6596)","etiqueta/HTML","Sub-institución / unidad…",""
"js/app.js (L6605)","etiqueta/HTML","Memoria — contenido profesional…",""
"js/app.js (L6606)","etiqueta/HTML","Descripción del proyecto",""
"js/app.js (L6607)","etiqueta/HTML","Pie de página (vacío = pie académico)",""
"js/app.js (L6609)","etiqueta/HTML","Logo de empresa",""
"js/app.js (L6619)","etiqueta/HTML","Visualización de la memoria",""
"js/app.js (L6620)","etiqueta/HTML","Mostrar IDs de nodos y elementos en las figuras",""
"js/app.js (L6621)","etiqueta/HTML","Amplificar las formas modales para que se observen",""
"js/app.js (L6628)","etiqueta/HTML","Habilitar análisis no lineal (NL-lite)",""
"js/app.js (L6633)","etiqueta/HTML","Funciones avanzadas (profesional)…",""
"js/app.js (L6634)","etiqueta/HTML","Motor de análisis (elija uno)",""
"js/app.js (L6636)","etiqueta/HTML","Elementos de área (membrana / placa / Shell lineal elástico)",""
"js/app.js (L6644)","etiqueta/HTML","Modificadores de sección por defecto (rigidez)",""
"js/app.js (L6645)","etiqueta/HTML","Factores aplicados a A, I, J en el análisis (p.ej. sección agrietada ACI: viga 0.35, columna 0.70). Editables por sección en la pestaña Sec.",""
"js/app.js (L6652)","etiqueta/HTML","Aplicar estos modificadores a TODAS las secciones",""
"js/app.js (L6654)","etiqueta/HTML","Los parámetros de diseño (Fy, f′c, φ, cuantía…) usan valores normativos estándar.",""
"js/app.js (L6732)","etiqueta/HTML","➕ Sobreponer — agregar al modelo actual (funde nodos coincidentes)",""
"js/app.js (L6733)","etiqueta/HTML","🗑 Nueva — reemplazar el modelo actual por el generado",""
"js/app.js (L6734)","etiqueta/HTML","✕ Cancelar",""
"js/app.js (L6847)","etiqueta/HTML","El modelo se generó. Estos datos faltaban o no se reconocieron y se sustituyeron/estimaron:",""
"js/app.js (L7278)","etiqueta/HTML","Empezar nuevo (vacío)",""
"js/app.js (L7336)","etiqueta/HTML","· sesión actual",""
"js/app.js (L7351)","etiqueta/HTML","🧹 Limpiar todos",""
"js/app.js (L7976)","etiqueta/HTML","+ peso propio",""
"js/app.js (L7979)","etiqueta/HTML","No hay casos de carga estáticos definidos.",""
"js/app.js (L7993)","etiqueta/HTML","Espectro de respuesta — dirección …",""
"js/app.js (L7996)","etiqueta/HTML","Sa(T) = S·A₀·I·α(T)/R* (NCh433 / DS61). Unidad de Sa: ….",""
"js/app.js (L8015)","etiqueta/HTML","Modos extraídos: …. Frecuencias y períodos de los primeros modos:",""
"js/app.js (L8019)","etiqueta/HTML","Mx/My/Mrz = masa modal participante (%). Σ = acumulada.",""
"js/app.js (L8022)","etiqueta/HTML","No se ha ejecutado el análisis modal. Ejecute «Análisis → Análisis Modal (F6)» para documentar los modos de vibrar.",""
"js/app.js (L8029)","etiqueta/HTML","Deformada no disponible — ejecute el análisis estático (F5).",""
"js/app.js (L8071)","etiqueta/HTML","Límites como fracción de la luz L. La verificación de flecha por elemento debe contrastarse con la luz libre de cada vano.",""
"js/app.js (L8107)","etiqueta/HTML","No hay resultados de análisis para verificar. Ejecute el análisis estático (F5) con sus combinaciones de carga antes de generar la memoria.",""
"js/app.js (L8144)","etiqueta/HTML","Dirección sísmica …",""
"js/app.js (L8186)","etiqueta/HTML","Documento de carácter docente. Los resultados deben ser validados por un profesional competente antes de cualquier uso en obra.",""
"js/app.js (L8241)","etiqueta/HTML","🖨 Imprimir / Guardar PDF",""
"js/app.js (L8248)","etiqueta/HTML","1. Bases de cálculo",""
"js/app.js (L8250)","etiqueta/HTML","1.1 Descripción del modelo",""
"js/app.js (L8259)","etiqueta/HTML","1.2 Métodos de diseño",""
"js/app.js (L8262)","etiqueta/HTML","1.3 Normas y códigos",""
"js/app.js (L8265)","etiqueta/HTML","1.4 Materiales y propiedades mecánicas",""
"js/app.js (L8269)","etiqueta/HTML","1.5 Secciones",""
"js/app.js (L8273)","etiqueta/HTML","1.6 Cargas y sobrecargas",""
"js/app.js (L8276)","etiqueta/HTML","1.7 Acción sísmica",""
"js/app.js (L8279)","etiqueta/HTML","1.8 Combinaciones de carga",""
"js/app.js (L8282)","etiqueta/HTML","1.9 Flechas admisibles",""
"js/app.js (L8285)","etiqueta/HTML","2. Análisis estructural",""
"js/app.js (L8286)","etiqueta/HTML","2.1 Modelo deformado",""
"js/app.js (L8288)","etiqueta/HTML","2.2 Análisis modal — modos de vibrar",""
"js/app.js (L8291)","etiqueta/HTML","3. Diseño de elementos (resistencia)",""
"js/app.js (L8294)","etiqueta/HTML","4. Verificaciones de servicio",""
"js/app.js (L8295)","etiqueta/HTML","4.1 Deformaciones de vigas — sobrecarga de uso (sin mayorar)",""
"js/app.js (L8297)","etiqueta/HTML","4.2 Derivas sísmicas de entrepiso — NCh433 (límite 2/1000·h)",""
"js/app.js (L8300)","etiqueta/HTML","5. Limitaciones y alcances",""
"js/app.js (L8307)","etiqueta/HTML","Sin curva.",""
"js/app.js (L193)","mensaje/JS","Se salió de la malla de análisis (auto-disc) para editar el modelo original",""
"js/app.js (L213)","mensaje/JS","No se pudo crear el elemento (nodos inválidos)",""
"js/app.js (L238)","mensaje/JS","Nodo #… eliminado",""
"js/app.js (L249)","mensaje/JS","Elemento #… eliminado",""
"js/app.js (L259)","mensaje/JS","Elemento de área #… eliminado",""
"js/app.js (L310)","mensaje/JS","No se pudo discretizar (¿el tramo objetivo es mayor que el elemento?)",""
"js/app.js (L318)","mensaje/JS","Elemento #… dividido en … tramos",""
"js/app.js (L324)","mensaje/JS","Seleccione 2 o más elementos colineales (Ctrl+clic) para unir",""
"js/app.js (L329)","mensaje/JS","No se pudo unir: …",""
"js/app.js (L335)","mensaje/JS","… elementos unidos → Elemento #…",""
"js/app.js (L342)","mensaje/JS","Seleccione exactamente 2 elementos que se intersecten (Ctrl+clic) para unirlos",""
"js/app.js (L370)","mensaje/JS","… área(s) actualizadas",""
"js/app.js (L379)","mensaje/JS","Material aplicado a … elemento(s)",""
"js/app.js (L387)","mensaje/JS","Sección aplicada a … elemento(s)",""
"js/app.js (L396)","mensaje/JS","… elemento(s) divididos en … (… tramos)",""
"js/app.js (L399)","mensaje/JS","Seleccione elementos para ocultar",""
"js/app.js (L401)","mensaje/JS","… elemento(s) oculto(s) · Vista → Mostrar todo para revertir",""
"js/app.js (L411)","mensaje/JS","Seleccione elementos para agrupar",""
"js/app.js (L426)","mensaje/JS","Seleccione 3 nodos (CST) o 4 nodos (QUAD) para crear un elemento de área",""
"js/app.js (L431)","mensaje/JS","Espesor inválido",""
"js/app.js (L438)","mensaje/JS","No se pudo crear el área (nodos repetidos o inexistentes)",""
"js/app.js (L441)","mensaje/JS","Elemento de área … #… (…, t=… m) creado",""
"js/app.js (L448)","mensaje/JS","Un área necesita 3 (CST) o 4 (QUAD) nodos",""
"js/app.js (L457)","mensaje/JS","Área … #… (…, t=… m) — ajusta sus propiedades en el panel",""
"js/app.js (L488)","mensaje/JS","Seleccione 4 nodos esquina del panel (en cualquier orden)",""
"js/app.js (L497)","mensaje/JS","Demasiados elementos (>2500). Reduzca nx·ny.",""
"js/app.js (L527)","mensaje/JS","Seleccione ≥3 nodos que formen el contorno de la región",""
"js/app.js (L538)","mensaje/JS","Valores inválidos (h>0, t>0)",""
"js/app.js (L545)","mensaje/JS","No se pudo mallar la región:",""
"js/app.js (L555)","mensaje/JS","No hay elementos de área en el modelo",""
"js/app.js (L556)","mensaje/JS","Suavizar malla (calidad)",""
"js/app.js (L556)","mensaje/JS","nº de iteraciones (1–20)",""
"js/app.js (L570)","mensaje/JS","Seleccione exactamente 2 nodos (1º = maestro, 2º = esclavo)",""
"js/app.js (L591)","mensaje/JS","Seleccione nodos",""
"js/app.js (L612)","mensaje/JS","Indique un desplazamiento (dX, dY o dZ)",""
"js/app.js (L613)","mensaje/JS","Seleccione nodos o elementos para mover",""
"js/app.js (L617)","mensaje/JS","… nodo(s) movidos (…, …, …)",""
"js/app.js (L622)","mensaje/JS","Indique un desplazamiento (dX, dY o dZ) ≠ 0",""
"js/app.js (L624)","mensaje/JS","Seleccione nodos o elementos para copiar",""
"js/app.js (L672)","mensaje/JS","Copiado …: +… elemento(s)",""
"js/app.js (L683)","mensaje/JS","Seleccione nodos o elementos para espejar",""
"js/app.js (L706)","mensaje/JS","Espejado en …=…: +… elemento(s)",""
"js/app.js (L714)","mensaje/JS","No hay caso de carga",""
"js/app.js (L715)","mensaje/JS","El caso espectral no admite cargas nodales",""
"js/app.js (L728)","mensaje/JS","Seleccione elementos",""
"js/app.js (L731)","mensaje/JS","El caso espectral no admite cargas distribuidas",""
"js/app.js (L747)","mensaje/JS","El caso espectral no admite cargas de temperatura",""
"js/app.js (L761)","mensaje/JS","Área no encontrada",""
"js/app.js (L774)","mensaje/JS","No hay elementos",""
"js/app.js (L776)","mensaje/JS","Discretizar Todos los Elementos",""
"js/app.js (L813)","mensaje/JS","Discretizado: … → … elementos",""
"js/app.js (L851)","mensaje/JS","Elemento incompleto",""
"js/app.js (L878)","mensaje/JS","Matrices del Elemento #…",""
"js/app.js (L898)","mensaje/JS","Modelo vacío",""
"js/app.js (L924)","mensaje/JS","Matrices Globales K y M",""
"js/app.js (L988)","mensaje/JS","¿Descartar los cambios no guardados y abrir el ejemplo?",""
"js/app.js (L998)","mensaje/JS","No se pudo abrir: …",""
"js/app.js (L1070)","mensaje/JS","Ejecute el análisis primero (F5) para ver el DCL",""
"js/app.js (L1072)","mensaje/JS","Sin resultados para este elemento",""
"js/app.js (L1144)","mensaje/JS","Definir Ejes de Grilla",""
"js/app.js (L1180)","mensaje/JS","Nada que deshacer",""
"js/app.js (L1191)","mensaje/JS","Nada que rehacer",""
"js/app.js (L1203)","mensaje/JS","El modelo no tiene suficientes nodos",""
"js/app.js (L1208)","mensaje/JS","No se encontraron nuevos pisos (nodos en el mismo nivel Z)",""
"js/app.js (L1220)","mensaje/JS","… diafragma(s) creado(s) automáticamente…",""
"js/app.js (L1246)","mensaje/JS","Diafragma … creado — asigne nodos en el panel",""
"js/app.js (L1387)","mensaje/JS","Marque al menos un análisis",""
"js/app.js (L1426)","mensaje/JS","Lote …/…: ……",""
"js/app.js (L1429)","mensaje/JS","Lote detenido en «…»: …",""
"js/app.js (L1438)","mensaje/JS","No hay resultados estáticos",""
"js/app.js (L1442)","mensaje/JS","No hay resultados modales",""
"js/app.js (L1447)","mensaje/JS","Caso espectral no encontrado",""
"js/app.js (L1452)","mensaje/JS","No hay resultados no lineales",""
"js/app.js (L1455)","mensaje/JS","No hay resultados P-Delta",""
"js/app.js (L1458)","mensaje/JS","No hay resultados de pandeo",""
"js/app.js (L1461)","mensaje/JS","No hay resultados de rótulas plásticas",""
"js/app.js (L1464)","mensaje/JS","No hay resultados de pushover",""
"js/app.js (L1467)","mensaje/JS","No hay resultados de time-history",""
"js/app.js (L1470)","mensaje/JS","No hay resultados de etapas constructivas",""
"js/app.js (L1473)","mensaje/JS","No hay resultados de cargas móviles",""
"js/app.js (L1476)","mensaje/JS","No hay resultados de time-history no lineal",""
"js/app.js (L1532)","mensaje/JS","El modelo debe tener nodos y elementos (barras o áreas)",""
"js/app.js (L1542)","mensaje/JS","Analizando…",""
"js/app.js (L1586)","mensaje/JS","No hay casos de carga estáticos que analizar",""
"js/app.js (L1602)","mensaje/JS","Sin resultados: cree un caso de carga estático o ejecute F6+F7 para los espectrales",""
"js/app.js (L1626)","mensaje/JS","Análisis cancelado",""
"js/app.js (L1628)","mensaje/JS","Error: …",""
"js/app.js (L1634)","mensaje/JS","Modo: Resultados",""
"js/app.js (L1669)","mensaje/JS","No se pudo diagnosticar: …",""
"js/app.js (L1671)","mensaje/JS","Sin GDL sueltos: no se detectaron nodos con rigidez nula. Si el análisis falla, el mecanismo puede ser de varios GDL acoplados (p.ej. barras colineales rotuladas).",""
"js/app.js (L1923)","mensaje/JS","Diagramas (…/…)…",""
"js/app.js (L1981)","mensaje/JS","Ya estás en la vista del modelo",""
"js/app.js (L1994)","mensaje/JS","Vista del modelo (los resultados se conservan — usa «Ver resultados» para volver)",""
"js/app.js (L2021)","mensaje/JS","No hay resultados que limpiar",""
"js/app.js (L2022)","mensaje/JS","¿Descartar TODOS los resultados calculados (estático, modal, espectro, NL, diseño) y revertir la malla auto-discretizada? Si sólo quieres volver a ver el modelo sin borrar nada, usa «Vista modelo» en la barra.",""
"js/app.js (L2088)","mensaje/JS","No hay resultados — ejecute el análisis primero",""
"js/app.js (L2091)","mensaje/JS","Resultados exportados",""
"js/app.js (L2103)","mensaje/JS","El modelo no tiene apoyos",""
"js/app.js (L2119)","mensaje/JS","Análisis modal…",""
"js/app.js (L2211)","mensaje/JS","Error modal: …",""
"js/app.js (L2216)","mensaje/JS","Modo: Modal",""
"js/app.js (L2230)","mensaje/JS","Análisis Modal",""
"js/app.js (L2325)","mensaje/JS","Modo … (… Hz)",""
"js/app.js (L2446)","mensaje/JS","No hay resultados modales — ejecute Análisis Modal primero",""
"js/app.js (L2450)","mensaje/JS","Resultados modales exportados",""
"js/app.js (L2455)","mensaje/JS","No hay resultados espectrales — ejecute Espectro de Respuesta primero",""
"js/app.js (L2459)","mensaje/JS","Resultados espectrales exportados",""
"js/app.js (L2465)","mensaje/JS","Ejecute primero el Análisis Modal (F6)",""
"js/app.js (L2476)","mensaje/JS","Espectro omitido en el lote: defínalo una vez manualmente para fijar la curva.",""
"js/app.js (L2487)","mensaje/JS","Espectro…",""
"js/app.js (L2553)","mensaje/JS","Error espectro: …",""
"js/app.js (L2558)","mensaje/JS","Modo: Espectro",""
"js/app.js (L2571)","mensaje/JS","El modelo debe tener nodos y elementos",""
"js/app.js (L2580)","mensaje/JS","Acelerograma vacío o no reconocido.",""
"js/app.js (L2585)","mensaje/JS","Time-history…",""
"js/app.js (L2653)","mensaje/JS","Time-history OK · … modos · … · PGA … m/s² · u_máx … m (nodo …) · T₁=…s",""
"js/app.js (L2657)","mensaje/JS","Time-history: …",""
"js/app.js (L2661)","mensaje/JS","Modo: Time-history",""
"js/app.js (L2707)","mensaje/JS","Time-history modal (acelerograma en la base)",""
"js/app.js (L2757)","mensaje/JS","Registro:",""
"js/app.js (L2893)","mensaje/JS","El nodo … no existe",""
"js/app.js (L2894)","mensaje/JS","El elemento … no existe",""
"js/app.js (L2895)","mensaje/JS","El área … no existe",""
"js/app.js (L3002)","mensaje/JS","Historia exportada (…)",""
"js/app.js (L3017)","mensaje/JS","Las etapas constructivas requieren elementos de barra",""
"js/app.js (L3028)","mensaje/JS","Etapas OK · … fases · δmax acumulado … m · activos finales …",""
"js/app.js (L3032)","mensaje/JS","Etapas: …",""
"js/app.js (L3051)","mensaje/JS","Etapas constructivas (staged)",""
"js/app.js (L3099)","mensaje/JS","El grupo no tiene elementos",""
"js/app.js (L3130)","mensaje/JS","Selecciona los elementos del tendón (en orden, del ancla activa a la pasiva)",""
"js/app.js (L3137)","mensaje/JS","Caso de carga inexistente",""
"js/app.js (L3142)","mensaje/JS","Tendón aplicado a «…» · P=… kN · w_eq=… kN/m · L=… m",""
"js/app.js (L3145)","mensaje/JS","Tendón: …",""
"js/app.js (L3151)","mensaje/JS","Pretensado por tendón — cargas equivalentes",""
"js/app.js (L3202)","mensaje/JS","Selecciona un caso de carga",""
"js/app.js (L3224)","mensaje/JS","Selecciona los elementos de la PISTA (en orden a lo largo del recorrido)",""
"js/app.js (L3243)","mensaje/JS","Cargas móviles OK · … · máx … … · mín … …",""
"js/app.js (L3247)","mensaje/JS","Cargas móviles: …",""
"js/app.js (L3256)","mensaje/JS","Cargas móviles / líneas de influencia",""
"js/app.js (L3318)","mensaje/JS","Define al menos un eje del tren",""
"js/app.js (L3388)","mensaje/JS","Resultado exportado",""
"js/app.js (L3403)","mensaje/JS","El time-history no lineal (edificio de corte) requiere diafragmas rígidos por piso. Use «auto-detectar diafragmas» o defínalos.",""
"js/app.js (L3409)","mensaje/JS","No se pudo armar el edificio de corte: …",""
"js/app.js (L3410)","mensaje/JS","No se identificaron pisos (diafragmas).",""
"js/app.js (L3419)","mensaje/JS","Cada piso necesita masa y rigidez > 0 (edite la tabla).",""
"js/app.js (L3452)","mensaje/JS","Time-history NL OK · … pisos · … · T₁=…s · u_techo máx … m · … piso(s) en fluencia",""
"js/app.js (L3456)","mensaje/JS","Time-history no lineal: …",""
"js/app.js (L3524)","mensaje/JS","Time-history NO LINEAL — edificio de corte (rótulas)",""
"js/app.js (L3748)","mensaje/JS","Historia exportada",""
"js/app.js (L3759)","mensaje/JS","Ejecute el análisis estático (F5) antes de diseñar.",""
"js/app.js (L3787)","mensaje/JS","No hay elementos en el alcance con resultados de diseño.",""
"js/app.js (L3909)","mensaje/JS","No hay propuestas seleccionadas",""
"js/app.js (L3924)","mensaje/JS","Diseño aplicado a … sección(es). Recalcule el análisis (F5) y vuelva a verificar. Ctrl+Z deshace.",""
"js/app.js (L3934)","mensaje/JS","Ejecute el análisis (F5) y verifique el diseño antes de exportar el reporte.",""
"js/app.js (L3959)","mensaje/JS","Reporte de diseño exportado · … elementos · … no cumplen",""
"js/app.js (L3967)","mensaje/JS","No hay barras para chequear nudos SCWB",""
"js/app.js (L3981)","mensaje/JS","Nudos SCWB: … nudo(s) viga-columna · … NO cumple(n) · γ=…",""
"js/app.js (L4028)","mensaje/JS","⚡ Predimensionar (preliminar)",""
"js/app.js (L4112)","mensaje/JS","Active «Análisis no lineal (NL-lite)» en ⚙ Configuración primero",""
"js/app.js (L4117)","mensaje/JS","Modelo vacío: agregue nodos y elementos",""
"js/app.js (L4139)","mensaje/JS","No hay elementos válidos para el análisis no lineal",""
"js/app.js (L4149)","mensaje/JS","Todos los nodos están restringidos (sin GDL libres)",""
"js/app.js (L4191)","mensaje/JS","Error no lineal: …",""
"js/app.js (L4194)","mensaje/JS","El análisis no lineal no produjo pasos (¿mecanismo?)",""
"js/app.js (L4196)","mensaje/JS","No convergió en el paso …/… (tangente singular o carga excesiva). Se muestran los pasos logrados.",""
"js/app.js (L4197)","mensaje/JS","No lineal OK · … pasos · … caso(s) combinados",""
"js/app.js (L4306)","mensaje/JS","Active «Análisis no lineal (NL-lite)» en ⚙ Configuración",""
"js/app.js (L4317)","mensaje/JS","Pandeo lineal…",""
"js/app.js (L4366)","mensaje/JS","Pandeo: λcr = … · carga crítica = λcr × carga de referencia",""
"js/app.js (L4370)","mensaje/JS","Pandeo: …",""
"js/app.js (L4375)","mensaje/JS","Modo: Pandeo",""
"js/app.js (L4383)","mensaje/JS","Pandeo lineal",""
"js/app.js (L4485)","mensaje/JS","Sin GDL libres",""
"js/app.js (L4486)","mensaje/JS","Defina al menos un caso de carga.",""
"js/app.js (L4499)","mensaje/JS","Estado lineal inestable (mecanismo).",""
"js/app.js (L4501)","mensaje/JS","Estado lineal singular.",""
"js/app.js (L4511)","mensaje/JS","Tangente singular: la carga iguala o supera la de pandeo (λcr ≤ 1). Reduzca la carga o ejecute Pandeo.",""
"js/app.js (L4513)","mensaje/JS","Divergió: la carga alcanza la de pandeo.",""
"js/app.js (L4570)","mensaje/JS","El form-finding necesita ≥ 2 nodos ancla (apoyos, o bordes de la selección). Restrinja algunos nodos o seleccione los elementos a formar.",""
"js/app.js (L4578)","mensaje/JS","Sin elementos para formar la red.",""
"js/app.js (L4621)","mensaje/JS","Form-finding:",""
"js/app.js (L4644)","mensaje/JS","Form-finding (densidades de fuerza)",""
"js/app.js (L4672)","mensaje/JS","q debe ser un número > 0",""
"js/app.js (L4800)","mensaje/JS","Defina al menos un caso de carga (patrón de carga del pushover).",""
"js/app.js (L4804)","mensaje/JS","El patrón de carga es nulo (los casos no tienen cargas, o el peso propio no está activo). Asigne cargas antes de correr rótulas.",""
"js/app.js (L5103)","mensaje/JS","Rótulas plásticas (material elasto-plástico)",""
"js/app.js (L5174)","mensaje/JS","Mp debe ser un número > 0",""
"js/app.js (L5178)","mensaje/JS","Mp de la selección debe ser > 0",""
"js/app.js (L5248)","mensaje/JS","Pushover — control de desplazamiento",""
"js/app.js (L5294)","mensaje/JS","Defina un caso de carga (patrón de referencia).",""
"js/app.js (L5320)","mensaje/JS","Error en pushover: …",""
"js/app.js (L5322)","mensaje/JS","Pushover DC:",""
"js/app.js (L5566)","mensaje/JS","El espectro necesita al menos 2 puntos (T,Sa)",""
"js/app.js (L5689)","mensaje/JS","Nuevo Caso / Combinación",""
"js/app.js (L5762)","mensaje/JS","Caso espectral",""
"js/app.js (L5777)","mensaje/JS","No hay caso de carga activo",""
"js/app.js (L5780)","mensaje/JS","Editar Caso",""
"js/app.js (L5804)","mensaje/JS","¿Eliminar el caso",""
"js/app.js (L5897)","mensaje/JS","Combinación vacía — agregue al menos un factor",""
"js/app.js (L5972)","mensaje/JS","Norma NCh3171: casos D/L + … combinación(es) LRFD y servicio…",""
"js/app.js (L5978)","mensaje/JS","No hay combinaciones — créelas en la pestaña Combos.",""
"js/app.js (L5986)","mensaje/JS","Ejecutar Combinación",""
"js/app.js (L6002)","mensaje/JS","¿Descartar cambios no guardados y crear un nuevo modelo?",""
"js/app.js (L6008)","mensaje/JS","Nuevo Modelo",""
"js/app.js (L6048)","mensaje/JS","Nuevo modelo … creado",""
"js/app.js (L6053)","mensaje/JS","¿Descartar cambios no guardados?",""
"js/app.js (L6075)","mensaje/JS","Error al abrir: …",""
"js/app.js (L6151)","mensaje/JS","Error al cargar archivo: …",""
"js/app.js (L6180)","mensaje/JS","Asistente — generar modelo desde ficha",""
"js/app.js (L6184)","mensaje/JS","Generar modelo",""
"js/app.js (L6230)","mensaje/JS","Configure el endpoint del asistente",""
"js/app.js (L6231)","mensaje/JS","Escriba una descripción",""
"js/app.js (L6242)","mensaje/JS","Ficha recibida — pulsa «Generar modelo»",""
"js/app.js (L6243)","mensaje/JS","Error asistente:",""
"js/app.js (L6286)","mensaje/JS","Escribe qué cambiar en el modelo",""
"js/app.js (L6287)","mensaje/JS","No hay modelo que modificar (créalo primero)",""
"js/app.js (L6358)","mensaje/JS","Ficha JSON inválida:",""
"js/app.js (L6388)","mensaje/JS","Estructura sobrepuesta — … nodo(s) coincidente(s) fundido(s)",""
"js/app.js (L6401)","mensaje/JS","Error al generar:",""
"js/app.js (L6424)","mensaje/JS","Feedback del asistente",""
"js/app.js (L6424)","mensaje/JS","¿Qué esperabas? (opcional, ayuda a mejorar)",""
"js/app.js (L6429)","mensaje/JS","Gracias — registrado como «no era lo solicitado»",""
"js/app.js (L6430)","mensaje/JS","No se pudo enviar el feedback:",""
"js/app.js (L6575)","mensaje/JS","⚙ Configuración",""
"js/app.js (L6662)","mensaje/JS","Modo profesional activado",""
"js/app.js (L6665)","mensaje/JS","Modo profesional desactivado",""
"js/app.js (L6670)","mensaje/JS","Logo cargado (se aplica al guardar)",""
"js/app.js (L6684)","mensaje/JS","Modificadores aplicados a todas las secciones",""
"js/app.js (L6700)","mensaje/JS","Los elementos de área (membrana/placa/Shell) no están implementados aún (versión avanzada).",""
"js/app.js (L6712)","mensaje/JS","Configuración guardada",""
"js/app.js (L6843)","mensaje/JS","Sin reemplazos: todo se interpretó correctamente",""
"js/app.js (L6947)","mensaje/JS","Error al guardar: …",""
"js/app.js (L7016)","mensaje/JS","CSV importado con … advertencia(s)",""
"js/app.js (L7019)","mensaje/JS","CSV importado correctamente",""
"js/app.js (L7029)","mensaje/JS","Error al importar CSV: …",""
"js/app.js (L7040)","mensaje/JS","CSV exportado",""
"js/app.js (L7098)","mensaje/JS","El archivo trae resultados que no calzan con el modelo (se ignoran)",""
"js/app.js (L7197)","mensaje/JS","Plantilla descargada",""
"js/app.js (L7293)","mensaje/JS","No se pudo leer el autoguardado",""
"js/app.js (L7362)","mensaje/JS","¿Reanudar",""
"js/app.js (L7364)","mensaje/JS","Autoguardado reanudado",""
"js/app.js (L7368)","mensaje/JS","¿Eliminar TODOS los autoguardados temporales? (No afecta el modelo abierto.)",""
"js/app.js (L7371)","mensaje/JS","Autoguardados temporales eliminados",""
"js/app.js (L7388)","mensaje/JS","Trabajo autoguardado recuperado",""
"js/app.js (L7464)","mensaje/JS","Imagen exportada",""
"js/app.js (L7470)","mensaje/JS","Modelo vacío — nada que documentar",""
"js/app.js (L7472)","mensaje/JS","Generando memoria de cálculo…",""
"js/app.js (L7485)","mensaje/JS","Pop-up bloqueado — memoria descargada como HTML",""
"js/app.js (L7491)","mensaje/JS","Memoria generada — use «Imprimir → Guardar como PDF»",""
"js/app.js (L7500)","mensaje/JS","Generando memoria (Word)…",""
"js/app.js (L7512)","mensaje/JS","Memoria Word (.docx) descargada",""
"js/app.js (L7515)","mensaje/JS","No se pudo generar el .docx:",""
"js/ui/properties.js (L98)","etiqueta/HTML","Ejecute el análisis estático (F5). Para verificar la combinación última, selecciónela como resultado mostrado y vuelva a verificar.",""
"js/ui/properties.js (L101)","etiqueta/HTML","Calculando…",""
"js/ui/properties.js (L105)","etiqueta/HTML","No hay resultados para verificar.",""
"js/ui/properties.js (L135)","etiqueta/HTML","⚡ Predimensionar",""
"js/ui/properties.js (L135)","tooltip","Predimensionar (antes del análisis): propone una sección inicial por reglas simples.",""
"js/ui/properties.js (L136)","etiqueta/HTML","🧮 Diseñar (auto)",""
"js/ui/properties.js (L136)","tooltip","Diseñar (después del análisis): elige del catálogo el perfil de acero más liviano que cumple D/C≤1.",""
"js/ui/properties.js (L139)","etiqueta/HTML","🏛️ Nudos SCWB",""
"js/ui/properties.js (L139)","tooltip","Nudos columna fuerte–viga débil (ACI 18.7.3 / AISC 341): resalta en el modelo los nudos donde ΣMnc < γ·ΣMnb (no cumplen).",""
"js/ui/properties.js (L140)","etiqueta/HTML","📄 Reporte (CSV)",""
"js/ui/properties.js (L142)","etiqueta/HTML","Estados:",""
"js/ui/properties.js (L143)","etiqueta/HTML","… cumplen",""
"js/ui/properties.js (L143)","etiqueta/HTML","… ajustados",""
"js/ui/properties.js (L143)","etiqueta/HTML","… no cumplen",""
"js/ui/properties.js (L176)","etiqueta/HTML","(por defecto)",""
"js/ui/properties.js (L177)","etiqueta/HTML","Código …",""
"js/ui/properties.js (L179)","etiqueta/HTML","Código de diseño",""
"js/ui/properties.js (L179)","tooltip","Norma de diseño por familia (como SAP2000). Ver docs/diseno.md.",""
"js/ui/properties.js (L247)","etiqueta/HTML","capacidades: …",""
"js/ui/properties.js (L255)","etiqueta/HTML","Carga de colapso = … × carga de referencia.",""
"js/ui/properties.js (L266)","etiqueta/HTML","Secuencia de formación de rótulas (λ = factor de carga). Mp = capacidad de cada rótula [kN·m]. δctrl = desplazamiento máximo.",""
"js/ui/properties.js (L293)","etiqueta/HTML","Desplazamientos Nodo Master #…",""
"js/ui/properties.js (L322)","etiqueta/HTML","Ctrl+clic: añadir/quitar | Clic vacío: deseleccionar",""
"js/ui/properties.js (L327)","etiqueta/HTML","… elemento(s) — ejecute el análisis para ver fuerzas.",""
"js/ui/properties.js (L372)","etiqueta/HTML","… nodo(s) — ejecute el análisis para ver desplazamientos.",""
